"lang"
{

	"Language"		"English"
	"Tokens"
	{		
		"addon_game_name"			"Naruto Wars Reborn"
		
		//"DOTA_Basics"							"ABILITIES"
		//"DOTA_Upgrades"							"ITEMS"
		//"DOTA_Shop_Category_Basics"				"ABILITIES"
		//"DOTA_Shop_Category_Upgrades"			"ITEMS"
		
		// *************** MESSAGES AT GAME START ****************
		"start_text_1"								"" //for example - Remember to restart Dota 2 before and after playing NWR.
		"start_text_2"								"" //for example - Follow the development of NWR in our website: <b><font color='#F3C6FF'>naruto-wars-reborn.com</font></b>
		

			// *************** ERROR MESSAGES ****************

		"error_must_target_owner_illusion"			"Must target own Illisions"
		"error_tag_is_too_close"					"Explosive Tag Trap Placement Too Close"
		"error_no_kunai_nearby"						"No Marked Kunai Nearby"

		"npc_dota_roshan"								"Kurama"
		"npc_dota_roshan_datadriven"								"Kurama"
		"npc_dota_neutral_black_drake"					"Kyuubi Chibi"
		"npc_dota_neutral_black_dragon"					"Kyuubi"
		"npc_dota_neutral_rock_golem"					"Shukaku Chibi"
		"npc_dota_neutral_granite_golem"					"Shukaku"
		"npc_dota_neutral_alpha_wolf"					"Giant Dog"
		"npc_dota_neutral_giant_wolf"					"Dog"
		"npc_dota_neutral_wildkin"					"Manda Chibi"
		"npc_dota_neutral_enraged_wildkin"					"Manda"
		"npc_dota_neutral_big_thunder_lizard"			"Sanbi"
		"npc_dota_neutral_small_thunder_lizard"			"Sanbi Chibi"
		"npc_dota_neutral_centaur_khan"					"Nibi"
		"npc_dota_neutral_centaur_outrunner"			"Nibi Chibi"
		"npc_dota_neutral_polar_furbolg_ursa_warrior"	"Gamabunta Chibi"
		"npc_dota_neutral_polar_furbolg_champion"		"Gamabunta"


		//--------------------
		//Scoreboard
		//--------------------
		"scoreboard_last_hits" 						"LH"
		"scoreboard_denies" 						"D"
		"scoreboard_damage_dealt" 						"DD"
		"scoreboard_damage_taken" 						"DT"
		"DOTA_CUSTOM2"									"Shinobi Alliance"
		"DOTA_CUSTOM3"									"Akatsuki Force"
		"DOTA_GoodGuys"   								"Shinobi Alliance"
		"DOTA_BadGuys"    								"Akatsuki Force"

		//--------------------
		//Heroes
		//--------------------

		//--------------------
		//Zabuza
		//--------------------
		"npc_dota_hero_zabuza" 						"Zabuza"
		"npc_dota_hero_zabuza_lore"  					""

		// Generic
		"DOTA_Tooltip_modifier_generic_charges"									"Charges"
		
		// Water Dragon Bullet
		"DOTA_Tooltip_ability_zabuza_water_dragon_bullet"						"<b><font color='#55AFFD'> Water Dragon Bullet </font></b>"
		"DOTA_Tooltip_ability_zabuza_water_dragon_bullet_lore"						"Suiton: Suiryudan no Jutsu"
		"DOTA_Tooltip_ability_zabuza_water_dragon_bullet_description"			"Sends a Water Dragon to the target area dealing <b><font color='#55AFFD'>Magic Damage and a Movement Speed Slow</font></b> to enemy units within the area. <br><br>The strength of the <b>Movement Speed Slow</b> <b><font color='#55AFFD'>increases per </font></b><b><font color='#FFFFFF'>150</font></b> <b><font color='#55AFFD'>distance traveled.</font></b>"

		"DOTA_Tooltip_ability_zabuza_water_dragon_bullet_damage"				"DAMAGE: "
		"DOTA_Tooltip_ability_zabuza_water_dragon_bullet_ms_slow"				"%MOVEMENT SPEED SLOW: "
		"DOTA_Tooltip_ability_zabuza_water_dragon_bullet_ms_slow_per_distance"	"%MOVEMENT SPEED SLOW GAIN: "
		"DOTA_Tooltip_ability_zabuza_water_dragon_bullet_duration"				"MOVEMENT SLOW DURATION: "
		
		"DOTA_Tooltip_modifier_zabuza_slow"								"<b><font color='#55AFFD'> Water Dragon Bullet </font></b>"
		"DOTA_Tooltip_modifier_zabuza_slow_description"					"This Unit has <b><font color='#55AFFD'>decreased Movement Speed.</font></b>"

		// Ninpou: Kirigakure No Jutsu
		"DOTA_Tooltip_ability_zabuza_kirigakure_no_jutsu_new"						"<b><font color='#EFEFEF'> Hidden Mist Technique </font></b>"
		"DOTA_Tooltip_ability_zabuza_kirigakure_no_jutsu_new_lore"					"Ninpou: Kirigakure No Jutsu"
		"DOTA_Tooltip_ability_zabuza_kirigakure_no_jutsu_new_radius"				"RADIUS: "
		"DOTA_Tooltip_ability_zabuza_kirigakure_no_jutsu_new_duration"				"DURATION: "
		"DOTA_Tooltip_ability_zabuza_kirigakure_no_jutsu_new_bonus_movespeed"		"%MOVEMENT SPEED BONUS: "
		"DOTA_Tooltip_ability_zabuza_kirigakure_no_jutsu_new_fade_delay"			"INVISIBILITY FADE TIME: "
		"DOTA_Tooltip_ability_zabuza_kirigakure_no_jutsu_new_special_bonus_5_damage" "EXTRA DAMAGE (TALENT): "

		"DOTA_Tooltip_ability_zabuza_kirigakure_no_jutsu_new_description"			"<b><font color='#EFEFEF'>Creates a dense mist</font></b> in the target area causing <b><font color='#EFEFEF'>friendly units to become invisible</font></b> after a short fade duration. <br><br> While in the mist, <b><font color='#EFEFEF'>Zabuza gains increased Movement Speed.</font></b>"

		"DOTA_Tooltip_modifier_zabuza_fog_ms_boos"								"<b><font color='#EFEFEF'> Hidden Mist Technique </font></b>"
		"DOTA_Tooltip_modifier_zabuza_fog_ms_boos_Description"								"This Unit has <b><font color='#EFEFEF'>increased Movement Speed.</font></b>"

		// Executioner’s Blade
		"DOTA_Tooltip_ability_zabuza_executioners_blade"						"<b><font color='#5386AF'> Executioner Blade </font></b>"
		"DOTA_Tooltip_ability_zabuza_executioners_blade_description"			"<b><font color='#FFFFFF'>ACTIVE </font></b>- Causes all of Zabuza's attacks to be <b><font color='#5386AF'>Critical Strikes for a short duration.</font></b> <br><br> <b><font color='#FFFFFF'>PASSIVE</font></b> - Zabuza’s attacks will always be <b>Critical Strikes</b> to enemies <b><font color='#5386AF'>below a health threshold.</font></b>"

		"DOTA_Tooltip_modifier_executioners_blade_crit_active"								"<b><font color='#5386AF'> Executioner Blade </font></b>"
		"DOTA_Tooltip_modifier_executioners_blade_crit_active_description"								"All of this Unit's attacks will be <b><font color='#5386AF'>Critical Strikes.</font></b>"


		"DOTA_Tooltip_ability_zabuza_executioners_blade_crit_multiplier"		"%CRITICAL DAMAGE: "
		"DOTA_Tooltip_ability_zabuza_executioners_blade_health_threshold"		"%HEALTH THRESHOLD: "
		"DOTA_Tooltip_ability_zabuza_executioners_blade_crit_duration"				"DURATION: "
		"DOTA_Tooltip_ability_zabuza_executioners_blade_cd_reduction"					"COOLDOWN REDUCTION (TALENT): "
		

		// Demon of the Hidden Mist
		"DOTA_Tooltip_ability_zabuza_demon_of_the_hidden_mist"					"<b><font color='#A03830'> Demon of the Hidden Mist </font></b>"
		"DOTA_Tooltip_ability_zabuza_demon_of_the_hidden_mist_description"		"<b><font color='#A03830'>Marks a target enemy Hero</font></b> for as long as they remain within distance. <br><br> Each of Zabuza's attacks on the Marked target causes a <b><font color='#55AFFD'>Movement Speed Slow</font></b> and <b><font color='#5386AF'>extend the Mark's duration.</font></b> <br><br> <b><font color='#A03830'>Zabuza cannot die </font></b>while the Mark is active. <br><br> Applies a<b><font color='#EFEFEF'> Strong Dispel</font></b> to Zabuza on cast."
		"DOTA_Tooltip_ability_zabuza_demon_of_the_hidden_mist_duration"			"DURATION: "
		"DOTA_Tooltip_ability_zabuza_demon_of_the_hidden_mist_marked_break_distance"		"MARK BREAK DISTANCE: "
		"DOTA_Tooltip_ability_zabuza_demon_of_the_hidden_mist_ms_slow_start"		"%MOVEMENT SPEED SLOW:"
		"DOTA_Tooltip_ability_zabuza_demon_of_the_hidden_mist_ms_slow_dur"		"MOVEMENT SPEED SLOW DURATION: "
		"DOTA_Tooltip_modifier_demon_unkillable"							"<b><font color='#A03830'> Demon of the Hidden Mist </font></b>"
		"DOTA_Tooltip_modifier_demon_unkillable_description"				"This Unit <b><font color='#A03830'>cannot die.</font></b>"

		"DOTA_Tooltip_modifier_demon_of_the_hidden_mist_slow"								"<b><font color='#A03830'>Wounded</font></b>"
		"DOTA_Tooltip_modifier_demon_of_the_hidden_mist_slow_description"								"This Unit is <b><font color='#A03830'>slowed.</font></b>"



		"DOTA_Tooltip_modifier_demon_mark"							"<b><font color='#5386AF'>Demon of the Hidden Mist</font></b>"
		"DOTA_Tooltip_modifier_demon_mark_description"				"Zabuza's attacks will <b><font color='#5386AF'>increase Mark duration</font></b> and cause a <b><font color='#A03830'>Movement Speed Slow.</font></b>"

		//--------------------
		//Jirobo
		//--------------------
		"npc_dota_hero_earthshaker" "Jiroubo"

		//--------------------
		//Kimimaro
		//--------------------
		"npc_dota_hero_kimimaro" "Kimimaro"
		// Clematis Danc: Flower
		"DOTA_Tooltip_ability_kimi_clematis_dance"						"Clematis Danc: Flower"
